Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Morning / Picanto,CKD (excl. Russia),May,0,0,,0,0,0,156,0,208,0,0
Pegas,CKD (excl. Russia),May,0,0,,0,0,0,0,0,80,0,0
K3,CKD (excl. Russia),May,0,0,,0,20,0,0,0,52,0,0
K5 / Optima,CKD (excl. Russia),May,0,0,,0,0,0,0,0,20,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),May,0,0,,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),May,0,0,,0,0,240,0,0,300,0,0
Stonic,CKD (excl. Russia),May,0,0,,0,0,0,83,0,0,0,0
Seltos,CKD (excl. Russia),May,0,0,,0,0,0,0,0,586,0,0
Niro,CKD (excl. Russia),May,0,0,,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),May,0,0,,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),May,0,0,,0,580,0,402,0,96,0,0
Sorento,CKD (excl. Russia),May,0,0,,0,0,0,19,0,78,0,0
New Carens,CKD (excl. Russia),May,0,0,,0,0,0,0,0,0,0,0
Carens MPV,CKD (excl. Russia),May,0,0,,0,0,0,0,0,412,0,0
Carnival / Sedona,CKD (excl. Russia),May,0,0,,0,0,0,0,0,603,0,0
Bongo / Frontier,CKD (excl. Russia),May,0,0,,0,0,191,0,0,329,0,0
Bongo,Special Vehicle,May,0,0,,0,107,3,0,6,7,0,0
Millitary,Special Vehicle,May,0,0,,0,0,0,0,110,0,0,0
Bongo (CKD),Special Vehicle,May,0,0,,0,80,0,0,0,20,0,0
Millitary (CKD),Special Vehicle,May,0,0,,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,May,0,0,,0,0,0,0,0,45,0,0
Morning / Picanto,Korean Plant,June,0,0,0,7453,396,2057,715,856,793,0,0
Pride / Rio,Korean Plant,June,0,0,0,3566,238,82,104,667,587,0,0
K3,Korean Plant,June,0,37,70,0,152,8,892,63,689,0,0
K5 / Optima,Korean Plant,June,0,0,0,0,705,13,1228,2,7,0,0
Stinger,Korean Plant,June,642,80,3,130,32,0,10,0,333,0,0
"K7,8 / Cadenza",Korean Plant,June,0,0,0,0,40,0,73,0,0,0,0
K9,Korean Plant,June,0,0,0,0,16,0,0,0,0,0,0
Stonic,Korean Plant,June,0,0,0,5818,829,245,518,201,1332,0,0
Seltos,Korean Plant,June,5652,1365,0,0,586,754,227,0,1732,0,0
Soul,Korean Plant,June,5202,191,198,0,109,179,5,0,6,0,0
Soul EV,Korean Plant,June,0,61,0,178,0,0,0,0,1,0,0
Niro,Korean Plant,June,2073,103,190,2579,4,51,190,75,481,0,0
Niro EV,Korean Plant,June,1092,479,0,3646,30,22,23,3,170,0,0
Niro Plus,Korean Plant,June,0,0,0,0,0,0,784,6,16,0,0
Niro Plus EV,Korean Plant,June,0,0,0,0,0,0,9,0,4,0,0
EV6,Korean Plant,June,1458,273,0,3865,20,11,35,30,345,46,0
EV9,Korean Plant,June,0,0,0,2,0,0,0,0,0,0,0
Sportage,Korean Plant,June,5856,1970,850,0,720,728,0,0,2004,0,0
Sorento,Korean Plant,June,2347,52,0,1561,728,183,1172,147,983,0,0
Mohave / Borrego,Korean Plant,June,0,0,0,0,82,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,June,4431,523,,0,109,103,257,64,1766,0,0
Bongo / Frontier,Korean Plant,June,0,0,,0,152,968,1211,160,243,0,0
Bus,Korean Plant,June,0,0,,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,June,0,0,,8069,300,0,38,19,11,0,0
Cee'd CUV,Slovakia Plant,June,0,0,,3503,136,12,0,210,0,0,0
Sportage,Slovakia Plant,June,0,0,,14266,889,378,2132,513,0,0,0
Pride / Rio (SC),Mexico Plant,June,2180,390,3967,0,0,755,90,12,0,0,0
K3,Mexico Plant,June,10330,1045,979,0,0,101,0,0,1,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),June,0,0,,0,30,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),June,0,0,,0,33,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),June,0,0,,0,30,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),June,0,0,,0,52,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),June,,,,,,,,,,,
Optima / K5,US Plant,June,6072,95,,0,0,19,0,0,0,0,0
Sportage,US Plant,June,8061,0,,0,0,8,0,0,0,0,0
Sorento,US Plant,June,5565,554,146,0,0,18,0,0,0,0,0
Telluride,US Plant,June,9534,575,,0,0,8,170,0,3,0,0
Pegas,China Plants,June,0,0,,0,0,2056,1517,175,96,0,209
Forte,China Plants,June,,,,0,0,0,,,,0,2530
K3,China Plants,June,0,0,,0,0,0,0,0,0,0,526
K5 / Optima,China Plants,June,0,0,,0,0,0,0,0,0,0,371
KX1,China Plants,June,0,0,,0,0,0,0,0,187,0,741
KX3,China Plants,June,,,,0,0,0,,,,0,948
Zhipao,China Plants,June,,,,0,0,0,,,,0,1109
Sportage(KX5),China Plants,June,0,0,,0,0,0,0,0,0,0,1004
KX7,China Plants,June,,,,0,0,0,,,,0,0
Carnival,China Plants,June,,,,0,0,0,,,,0,184
Sonet,China Plants,June,,,,,,,,,,,
Seltos,China Plants,June,,,,,,,,,,,
Sonet,India Plants,June,0,0,,0,0,837,589,680,114,7657,0
Seltos,India Plants,June,0,0,1602,0,0,910,624,345,111,5893,0
Carens MPV,India Plants,June,0,0,,0,0,246,245,93,52,7129,0
Carnival (CKD),India Plants,June,,,,,,,,,,,
Morning / Picanto,CKD (excl. Russia),June,0,0,,0,0,0,203,0,68,0,0
Pegas,CKD (excl. Russia),June,0,0,,0,0,0,0,0,69,0,0
K3,CKD (excl. Russia),June,0,0,,0,70,0,0,0,71,0,0
K5 / Optima,CKD (excl. Russia),June,0,0,,0,0,0,0,0,16,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),June,0,0,,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),June,0,0,,0,0,294,0,0,188,0,0
Stonic,CKD (excl. Russia),June,0,0,,0,0,0,61,0,0,0,0
Seltos,CKD (excl. Russia),June,0,0,,0,0,0,0,0,425,0,0
Niro,CKD (excl. Russia),June,0,0,,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),June,0,0,,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),June,0,0,,0,660,0,350,0,76,0,0
Sorento,CKD (excl. Russia),June,0,0,,0,0,0,17,0,59,0,0
New Carens,CKD (excl. Russia),June,0,0,,0,0,0,0,0,1,0,0
Carens MPV,CKD (excl. Russia),June,0,0,,0,0,0,0,0,298,0,0
Carnival / Sedona,CKD (excl. Russia),June,0,0,,0,0,0,0,0,461,0,0
Bongo / Frontier,CKD (excl. Russia),June,0,0,,0,0,254,0,0,822,0,0
Bongo,Special Vehicle,June,0,0,,0,57,4,2,0,6,0,0
Millitary,Special Vehicle,June,0,0,,0,0,0,0,30,0,0,0
Bongo (CKD),Special Vehicle,June,0,0,,0,14,0,0,0,17,0,0
Millitary (CKD),Special Vehicle,June,0,0,,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,June,0,0,,0,0,0,0,0,30,0,0
Morning / Picanto,Korean Plant,July,0,0,0,6979,449,1869,624,783,1000,0,0
Pride / Rio,Korean Plant,July,0,0,0,2961,93,68,144,838,712,0,0
K3,Korean Plant,July,0,81,100,0,122,12,391,319,345,0,0
K5 / Optima,Korean Plant,July,0,0,0,0,337,8,766,3,4,0,0
Stinger,Korean Plant,July,464,68,4,116,20,0,11,0,101,0,0
"K7,8 / Cadenza",Korean Plant,July,0,0,0,0,4,0,109,0,0,0,0
K9,Korean Plant,July,0,0,0,0,4,0,0,0,0,0,0
Stonic,Korean Plant,July,0,0,0,4674,471,210,271,152,858,0,0
Seltos,Korean Plant,July,5251,1251,0,0,508,554,189,0,878,0,0
Soul,Korean Plant,July,5123,203,260,0,41,204,0,0,16,0,0
Soul EV,Korean Plant,July,0,155,0,120,0,0,0,0,5,0,0
Niro,Korean Plant,July,1972,177,195,2024,1,89,122,67,237,0,0
Niro EV,Korean Plant,July,1140,670,0,3536,48,8,23,14,187,0,0
Niro Plus,Korean Plant,July,0,0,0,0,0,0,786,4,15,0,0
Niro Plus EV,Korean Plant,July,0,0,0,0,0,0,4,0,2,0,0
EV6,Korean Plant,July,1937,449,0,3300,2,16,17,21,403,29,0
EV9,Korean Plant,July,0,0,0,0,0,0,0,0,0,0,0
Sportage,Korean Plant,July,5493,1440,922,0,1238,662,0,0,1766,0,0
Sorento,Korean Plant,July,2450,41,0,1709,519,171,1600,87,578,0,0
Mohave / Borrego,Korean Plant,July,0,0,,0,112,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,July,5285,670,,0,50,178,306,55,1605,0,0
Bongo / Frontier,Korean Plant,July,0,0,,0,210,780,1088,190,250,0,0
Bus,Korean Plant,July,0,0,,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,July,0,0,,6903,259,0,82,19,3,0,0
Cee'd CUV,Slovakia Plant,July,0,0,,3624,134,18,0,109,0,0,0
Sportage,Slovakia Plant,July,0,0,,13163,873,606,1776,884,0,0,0
Pride / Rio (SC),Mexico Plant,July,2358,299,3905,0,0,872,234,144,0,0,0
K3,Mexico Plant,July,11004,830,820,0,0,88,0,0,8,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),July,0,0,,0,21,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),July,0,0,,0,32,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),July,0,0,,0,30,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),July,0,0,,0,38,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),July,0,0,,0,0,0,0,0,0,0,0
Optima / K5,US Plant,July,6215,47,0,0,0,15,0,0,0,0,0
Sportage,US Plant,July,6360,0,0,0,0,1,0,0,0,0,0
Sorento,US Plant,July,6119,535,191,0,0,16,0,0,0,0,0
Telluride,US Plant,July,9759,417,0,0,0,5,173,0,1,0,0
Pegas,China Plants,July,0,0,0,0,0,2104,2113,184,145,0,158
Forte,China Plants,July,,,0,0,0,0,,,,0,1956
K3,China Plants,July,0,0,0,0,0,0,0,0,0,0,409
K5 / Optima,China Plants,July,0,0,0,0,0,0,0,0,0,0,294
KX1,China Plants,July,0,0,0,0,0,0,0,0,174,0,611
KX3,China Plants,July,,,0,0,0,0,,,,0,959
Zhipao,China Plants,July,,,0,0,0,0,,,,0,707
Sportage(KX5),China Plants,July,0,0,0,0,0,0,0,0,0,0,1350
KX7,China Plants,July,,,0,0,0,0,,,,0,0
Carnival,China Plants,July,,,0,0,0,0,,,,0,267
Sonet,China Plants,July,,,,,,,,,,,
Seltos,China Plants,July,,,,,,,,,,,
Sonet,India Plants,July,0,0,0,0,0,1043,573,432,147,5185,0
Seltos,India Plants,July,0,0,1310,0,0,845,653,313,96,6261,0
Carens MPV,India Plants,July,0,0,0,0,0,442,311,62,46,5050,0
Carnival (CKD),India Plants,July,,,,,,,,,,,
Morning / Picanto,CKD (excl. Russia),July,0,0,0,0,0,0,196,0,130,0,0
Pegas,CKD (excl. Russia),July,0,0,0,0,0,0,0,0,77,0,0
K3,CKD (excl. Russia),July,0,0,0,0,95,0,0,0,97,0,0
K5 / Optima,CKD (excl. Russia),July,0,0,0,0,0,0,0,0,57,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),July,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),July,0,0,0,0,0,359,0,0,796,0,0
Stonic,CKD (excl. Russia),July,0,0,0,0,0,0,31,0,0,0,0
Seltos,CKD (excl. Russia),July,0,0,0,0,0,0,0,0,498,0,0
Niro,CKD (excl. Russia),July,0,0,0,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),July,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),July,0,0,0,0,735,0,200,0,238,0,0
Sorento,CKD (excl. Russia),July,0,0,0,0,0,0,14,0,114,0,0
New Carens,CKD (excl. Russia),July,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD (excl. Russia),July,0,0,0,0,0,0,0,0,294,0,0
Carnival / Sedona,CKD (excl. Russia),July,0,0,0,0,0,0,0,0,645,0,0
Bongo / Frontier,CKD (excl. Russia),July,0,0,0,0,0,73,0,0,696,0,0
Bongo,Special Vehicle,July,0,0,0,0,14,9,0,0,8,0,0
Millitary,Special Vehicle,July,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,July,0,0,0,0,0,0,0,0,34,0,0
Millitary (CKD),Special Vehicle,July,0,0,0,0,0,0,50,0,0,0,0
Bus (CKD),Special Vehicle,July,0,0,0,0,0,0,0,0,30,0,0
Morning / Picanto,Korean Plant,August,0,0,0,5285,476,2643,884,1286,1075,0,0
Pride / Rio,Korean Plant,August,0,0,0,1581,22,53,83,214,374,0,0
K3,Korean Plant,August,0,40,78,0,187,15,405,15,549,0,0
K5 / Optima,Korean Plant,August,0,0,0,0,494,8,942,1,15,0,0
Stinger,Korean Plant,August,237,34,2,32,35,1,10,0,47,0,0
"K7,8 / Cadenza",Korean Plant,August,0,0,0,0,35,0,117,13,0,0,0
K9,Korean Plant,August,0,0,0,0,34,0,0,0,0,0,0
Stonic,Korean Plant,August,0,0,0,2667,625,164,321,121,508,0,0
Seltos,Korean Plant,August,4649,1888,0,0,619,381,260,0,1236,0,0
Soul,Korean Plant,August,4911,293,217,0,122,205,3,0,5,0,0
Soul EV,Korean Plant,August,0,137,0,264,0,0,0,0,3,0,0
Niro,Korean Plant,August,2275,80,145,1880,0,70,256,62,181,0,0
Niro EV,Korean Plant,August,1621,705,0,3962,126,11,63,14,180,0,0
Niro Plus,Korean Plant,August,0,0,0,0,0,0,838,1,60,0,0
Niro Plus EV,Korean Plant,August,0,0,0,0,0,0,6,0,4,0,0
EV6,Korean Plant,August,2449,536,0,4010,14,6,16,16,399,30,3
EV9,Korean Plant,August,0,0,0,1,3,0,0,0,0,0,0
Sportage,Korean Plant,August,5049,1942,812,0,1079,743,0,0,1810,0,0
Sorento,Korean Plant,August,2528,10,0,1729,751,154,982,138,812,0,0
Mohave / Borrego,Korean Plant,August,0,0,0,0,182,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,August,5428,876,0,0,145,122,332,26,1491,0,0
Bongo / Frontier,Korean Plant,August,0,0,0,0,308,941,1666,178,257,0,0
Bus,Korean Plant,August,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,August,0,0,0,4989,285,0,31,29,33,0,0
Cee'd CUV,Slovakia Plant,August,0,0,0,2328,145,8,0,291,0,0,0
Sportage,Slovakia Plant,August,0,0,0,8383,664,488,2094,682,0,0,0
Pride / Rio (SC),Mexico Plant,August,2546,224,3851,0,0,1073,193,72,7,0,0
K3,Mexico Plant,August,11333,824,1077,0,0,187,0,0,1,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),August,0,0,0,0,70,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),August,0,0,0,0,36,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),August,0,0,0,0,60,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),August,0,0,0,0,123,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),August,0,0,0,0,0,0,0,0,0,0,0
Optima / K5,US Plant,August,6480,32,0,0,0,8,0,0,0,0,0
Sportage,US Plant,August,7231,0,0,0,0,1,0,0,0,0,0
Sorento,US Plant,August,5619,381,179,0,0,15,0,0,0,0,0
Telluride,US Plant,August,9791,360,0,0,0,13,121,0,3,0,0
Pegas,China Plants,August,0,0,0,0,0,1684,1137,40,146,0,160
Forte,China Plants,August,,,,0,0,,,,,0,2423
K3,China Plants,August,0,0,0,0,0,0,0,0,0,0,409
K5 / Optima,China Plants,August,0,0,0,0,0,0,0,0,0,0,206
KX1,China Plants,August,0,0,0,0,0,0,0,0,177,0,651
KX3,China Plants,August,,,,0,0,,,,,0,896
Zhipao,China Plants,August,,,,0,0,,,,,0,709
Sportage(KX5),China Plants,August,0,0,0,0,0,0,0,0,0,0,848
KX7,China Plants,August,,,,0,0,,,,,0,0
Carnival,China Plants,August,,,,0,0,,,,,0,205
Sonet,China Plants,August,0,0,0,0,0,0,0,0,0,0,0
Seltos,China Plants,August,0,0,661,0,0,159,0,0,0,0,0
Sonet,India Plants,August,0,0,0,0,0,1278,1112,934,173,5100,0
Seltos,India Plants,August,0,0,893,0,0,1015,1035,318,102,10296,0
Carens MPV,India Plants,August,0,0,0,0,0,346,316,66,79,4647,0
Carnival (CKD),India Plants,August,0,0,0,0,0,0,0,0,0,0,0
Morning / Picanto,CKD (excl. Russia),August,0,0,0,0,0,0,153,0,97,0,0
Pegas,CKD (excl. Russia),August,0,0,0,0,0,0,0,0,45,0,0
K3,CKD (excl. Russia),August,0,0,0,0,120,0,0,0,49,0,0
K5 / Optima,CKD (excl. Russia),August,0,0,0,0,0,0,0,0,6,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),August,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),August,0,0,0,0,0,372,0,0,1008,0,0
Stonic,CKD (excl. Russia),August,0,0,0,0,0,0,82,0,0,0,0
Seltos,CKD (excl. Russia),August,0,0,0,0,0,0,0,0,592,0,0
Niro,CKD (excl. Russia),August,0,0,0,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),August,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),August,0,0,0,0,336,0,263,0,38,0,0
Sorento,CKD (excl. Russia),August,0,0,0,0,0,0,36,0,59,0,0
New Carens,CKD (excl. Russia),August,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD (excl. Russia),August,0,0,0,0,0,0,0,0,337,0,0
Carnival / Sedona,CKD (excl. Russia),August,0,0,0,0,0,0,0,0,380,0,0
Bongo / Frontier,CKD (excl. Russia),August,0,0,0,0,0,238,0,0,309,0,0
Bongo,Special Vehicle,August,0,0,0,0,110,1,0,0,14,0,0
Millitary,Special Vehicle,August,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,August,0,0,0,0,0,0,0,0,24,0,0
Millitary (CKD),Special Vehicle,August,0,0,0,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,August,0,0,0,0,0,0,0,0,44,0,0
Morning / Picanto,Korean Plant,September,0,0,0,6584,468,2167,806,810,1118,0,0
Pride / Rio,Korean Plant,September,0,0,0,1527,8,76,92,409,99,0,0
K3,Korean Plant,September,0,25,45,0,66,6,398,68,369,0,0
K5 / Optima,Korean Plant,September,0,0,0,0,685,9,986,5,10,0,0
Stinger,Korean Plant,September,117,20,4,33,11,0,8,0,49,0,0
"K7,8 / Cadenza",Korean Plant,September,0,0,0,0,41,0,141,1,1,0,0
K9,Korean Plant,September,0,0,0,0,20,0,0,0,0,0,0
Stonic,Korean Plant,September,0,0,0,4708,554,200,269,88,706,0,0
Seltos,Korean Plant,September,4736,1657,0,0,573,444,289,0,1078,0,0
Soul,Korean Plant,September,5290,394,205,0,42,206,4,0,3,0,0
Soul EV,Korean Plant,September,0,78,0,207,0,4,0,0,0,0,0
Niro,Korean Plant,September,1967,145,99,3522,9,86,138,45,162,0,0
Niro EV,Korean Plant,September,785,298,0,4705,41,8,44,16,212,0,0
Niro Plus,Korean Plant,September,0,0,0,0,0,0,795,0,41,0,0
Niro Plus EV,Korean Plant,September,0,0,0,0,0,0,3,2,1,0,0
EV6,Korean Plant,September,2084,213,0,3688,19,23,10,27,331,43,96
EV9,Korean Plant,September,0,0,0,1,0,0,2,0,0,0,0
Sportage,Korean Plant,September,4693,1920,603,0,948,795,0,0,2484,0,0
Sorento,Korean Plant,September,2224,1,0,2949,619,307,1389,139,1105,0,0
Mohave / Borrego,Korean Plant,September,0,0,0,0,2,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,September,4638,383,0,0,121,142,252,13,1536,0,0
Bongo / Frontier,Korean Plant,September,0,0,0,0,264,1134,2030,213,220,0,0
Bus,Korean Plant,September,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,September,0,0,0,8318,271,1,87,17,9,0,0
Cee'd CUV,Slovakia Plant,September,0,0,0,4482,117,18,0,385,0,0,0
Sportage,Slovakia Plant,September,0,0,0,16203,901,469,1806,759,0,0,0
Pride / Rio (SC),Mexico Plant,September,2096,492,3483,0,0,1250,225,196,12,0,0
K3,Mexico Plant,September,10737,1099,1109,0,0,194,0,0,10,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),September,0,0,0,0,50,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),September,0,0,0,0,73,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),September,0,0,0,0,146,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),September,0,0,0,0,251,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),September,,,,,,,,,,,
Optima / K5,US Plant,September,6002,88,0,0,0,27,0,0,0,0,0
Sportage,US Plant,September,6869,0,0,0,0,30,0,0,0,0,0
Sorento,US Plant,September,5879,454,153,0,0,28,0,0,0,0,0
Telluride,US Plant,September,9147,428,0,0,0,7,249,0,1,0,0
Pegas,China Plants,September,0,0,0,0,0,1573,1005,142,168,0,122
Forte,China Plants,September,,,,0,0,,,,,0,2416
K3,China Plants,September,0,0,0,0,0,0,0,0,0,0,720
K5 / Optima,China Plants,September,0,0,0,0,0,0,0,0,0,0,220
KX1,China Plants,September,0,0,0,0,0,0,0,0,142,0,634
KX3,China Plants,September,,,,0,0,,,,,0,761
Zhipao,China Plants,September,,,,0,0,,,,,0,756
Sportage(KX5),China Plants,September,0,0,0,0,0,0,0,0,0,0,1516
KX7,China Plants,September,,,,0,0,,,,,0,0
Carnival,China Plants,September,,,,0,0,,,,,0,290
Sonet,China Plants,September,0,0,0,0,0,0,0,0,0,0,0
Seltos,China Plants,September,0,0,1770,0,0,106,59,0,0,0,0
Sonet,India Plants,September,0,0,0,0,0,1167,1713,989,143,4743,0
Seltos,India Plants,September,0,0,299,0,0,785,1134,467,97,11184,0
Carens MPV,India Plants,September,0,0,0,0,0,439,463,71,91,4571,0
Carnival (CKD),India Plants,September,0,0,0,0,0,0,0,0,0,0,0
Morning / Picanto,CKD (excl. Russia),September,0,0,0,0,0,0,99,0,69,0,0
Pegas,CKD (excl. Russia),September,0,0,0,0,0,0,0,0,113,0,0
K3,CKD (excl. Russia),September,0,0,0,0,300,0,0,0,152,0,0
K5 / Optima,CKD (excl. Russia),September,0,0,0,0,0,0,0,0,24,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),September,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),September,0,0,0,0,0,349,0,0,835,0,0
Stonic,CKD (excl. Russia),September,0,0,0,0,0,0,40,0,0,0,0
Seltos,CKD (excl. Russia),September,0,0,0,0,0,40,0,0,678,0,0
Niro,CKD (excl. Russia),September,0,0,0,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),September,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),September,0,0,0,0,490,0,176,0,174,0,0
Sorento,CKD (excl. Russia),September,0,0,0,0,0,0,26,0,155,0,0
New Carens,CKD (excl. Russia),September,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD (excl. Russia),September,0,0,0,0,0,0,0,0,270,0,0
Carnival / Sedona,CKD (excl. Russia),September,0,0,0,0,0,0,0,0,706,0,0
Bongo / Frontier,CKD (excl. Russia),September,0,0,0,0,0,218,0,0,594,0,0
Bongo,Special Vehicle,September,0,0,0,0,180,1,0,0,5,0,0
Millitary,Special Vehicle,September,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,September,0,0,0,0,0,0,0,0,0,0,0
Millitary (CKD),Special Vehicle,September,0,0,0,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,September,0,0,0,0,0,0,0,0,5,0,0
Morning / Picanto,Korean Plant,October,0,0,0,5035,355,2149,269,1201,897,0,0
Pride / Rio,Korean Plant,October,0,0,0,861,4,21,20,608,21,0,0
K3,Korean Plant,October,0,51,38,0,66,11,597,100,388,0,0
K5 / Optima,Korean Plant,October,0,0,0,0,539,10,866,20,0,0,0
Stinger,Korean Plant,October,49,13,0,26,8,0,13,0,23,0,0
"K7,8 / Cadenza",Korean Plant,October,0,0,0,0,31,0,119,1,0,0,0
K9,Korean Plant,October,0,0,0,0,16,0,0,0,0,0,0
Stonic,Korean Plant,October,0,0,0,4184,1133,132,126,130,691,0,0
Seltos,Korean Plant,October,4355,1938,0,0,287,364,85,0,819,0,0
Soul,Korean Plant,October,4192,391,204,0,24,172,0,0,1,0,0
Soul EV,Korean Plant,October,0,24,0,106,0,19,1,0,0,0,0
Niro,Korean Plant,October,1622,264,141,2330,32,128,118,46,377,0,0
Niro EV,Korean Plant,October,786,590,0,3677,62,7,26,18,127,0,0
Niro Plus,Korean Plant,October,0,0,0,0,0,0,214,1,40,0,0
Niro Plus EV,Korean Plant,October,0,0,0,0,0,0,5,0,9,0,0
EV6,Korean Plant,October,1542,330,0,2736,10,14,10,27,337,88,6
EV9,Korean Plant,October,0,0,0,731,0,0,5,1,61,0,0
Sportage,Korean Plant,October,4727,1993,726,0,1047,696,0,0,2082,0,0
Sorento,Korean Plant,October,1501,0,0,1992,338,170,497,138,769,0,0
Mohave / Borrego,Korean Plant,October,0,0,0,0,11,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,October,3507,311,0,,42,116,241,23,1302,0,0
Bongo / Frontier,Korean Plant,October,0,0,0,0,236,971,2232,167,168,0,0
Bus,Korean Plant,October,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,October,0,0,0,7191,495,4,6,21,1,0,0
Cee'd CUV,Slovakia Plant,October,0,0,0,3515,120,10,0,136,0,0,0
Sportage,Slovakia Plant,October,0,0,0,13957,568,441,1809,913,0,0,0
Pride / Rio (SC),Mexico Plant,October,2544,163,3449,0,0,1031,287,172,0,0,0
K3,Mexico Plant,October,9393,1049,930,0,0,127,0,0,0,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),October,0,0,0,0,18,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),October,0,0,0,0,57,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),October,0,0,0,0,188,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),October,0,0,0,0,435,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),October,,,,,,,,,,,
Optima / K5,US Plant,October,5200,51,0,0,0,19,0,0,0,0,0
Sportage,US Plant,October,6326,0,0,0,0,42,0,0,0,0,0
Sorento,US Plant,October,4887,336,186,0,0,27,0,0,0,0,0
Telluride,US Plant,October,8533,420,0,0,0,8,183,0,5,0,0
Pegas,China Plants,October,0,0,0,0,0,2190,3003,94,173,0,127
Forte,China Plants,October,,,,0,0,,,,,0,2604
K3,China Plants,October,0,0,0,0,0,0,0,0,0,0,425
K5 / Optima,China Plants,October,0,0,0,0,0,0,0,0,0,0,182
KX1,China Plants,October,0,0,0,0,0,0,0,0,134,0,814
KX3,China Plants,October,,,,0,0,,,,,0,1027
Zhipao,China Plants,October,,,,0,0,,,,,0,615
Sportage(KX5),China Plants,October,0,0,0,0,0,0,0,0,0,0,1167
