Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
K9,Korean Plant,Febuary,0,0,0,0,28,0,0,0,0,0,0
Stonic,Korean Plant,Febuary,0,0,0,4888,614,238,344,134,806,0,0
Seltos,Korean Plant,Febuary,3744,1977,0,0,210,327,650,0,641,0,0
Soul,Korean Plant,Febuary,5233,309,258,0,114,222,5,0,2,0,0
Soul EV,Korean Plant,Febuary,0,22,0,116,0,0,0,0,2,0,0
Niro,Korean Plant,Febuary,2404,2,113,2326,10,28,116,48,169,0,0
Niro EV,Korean Plant,Febuary,974,0,0,2211,9,6,16,19,138,0,0
Niro Plus,Korean Plant,Febuary,0,0,0,0,0,0,536,7,67,0,0
Niro Plus EV,Korean Plant,Febuary,0,0,0,0,0,0,8,4,24,0,0
EV6,Korean Plant,Febuary,1294,112,0,2223,4,0,22,16,289,20,0
EV9,Korean Plant,Febuary,0,0,0,0,0,0,0,0,0,0,0
Sportage,Korean Plant,Febuary,3038,1004,,0,1412,891,0,0,1358,0,0
Sorento,Korean Plant,Febuary,1618,56,,1074,662,179,969,121,1208,0,0
Mohave / Borrego,Korean Plant,Febuary,0,0,,0,14,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,Febuary,2460,636,,0,178,207,214,32,1568,0,0
Bongo / Frontier,Korean Plant,Febuary,0,0,,0,119,567,1099,295,248,0,0
Bus,Korean Plant,Febuary,0,0,,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,Febuary,0,0,,6606,479,0,57,19,18,0,0
Cee'd CUV,Slovakia Plant,Febuary,0,0,,3502,112,14,0,16,0,0,0
Sportage,Slovakia Plant,Febuary,0,0,,10191,481,436,2022,543,0,0,0
Pride / Rio (SC),Mexico Plant,Febuary,2385,284,4346,0,0,871,13,38,0,0,0
K3,Mexico Plant,Febuary,10445,836,762,0,0,113,0,0,0,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),Febuary,0,0,,0,153,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),Febuary,0,0,,0,141,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),Febuary,0,0,,0,37,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),Febuary,0,0,,0,128,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),Febuary,0,0,,0,0,0,0,0,0,0,0
Optima / K5,US Plant,Febuary,5146,89,,0,0,0,0,0,0,0,0
Sportage,US Plant,Febuary,7079,0,,0,0,0,0,0,0,0,0
Sorento,US Plant,Febuary,5394,584,215,0,0,27,0,0,0,0,0
Telluride,US Plant,Febuary,9023,430,,0,0,10,191,0,0,0,0
Pegas,China Plants,Febuary,0,0,,0,0,1740,1052,179,155,0,54
Forte,China Plants,Febuary,0,0,,0,0,0,0,0,0,0,2000
K3,China Plants,Febuary,0,0,,0,0,0,0,0,0,0,775
K5 / Optima,China Plants,Febuary,0,0,,0,0,0,0,0,0,0,180
KX1,China Plants,Febuary,0,0,,0,0,0,0,0,206,0,783
KX3,China Plants,Febuary,0,0,,0,0,0,0,0,0,0,910
Zhipao,China Plants,Febuary,0,0,,0,0,0,0,0,0,0,1296
Sportage(KX5),China Plants,Febuary,0,0,,0,0,0,0,0,0,0,372
KX7,China Plants,Febuary,0,0,,0,0,0,0,0,0,0,0
Carnival,China Plants,Febuary,0,0,,0,0,0,0,0,0,0,53
Sonet,China Plants,Febuary,0,0,,0,0,0,0,0,0,0,0
Seltos,China Plants,Febuary,0,0,,0,0,0,0,0,0,0,0
Sonet,India Plants,Febuary,0,0,,0,0,728,1203,473,193,8575,0
Seltos,India Plants,Febuary,0,0,1612,0,0,1178,125,499,103,6727,0
Carens MPV,India Plants,Febuary,0,0,,0,0,241,274,39,51,5829,0
Carnival (CKD),India Plants,Febuary,0,0,,0,0,0,0,0,0,457,0
Morning / Picanto,CKD (excl. Russia),Febuary,0,0,,0,0,0,162,0,274,0,0
Pegas,CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,100,0,0
K3,CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,141,0,0
K5 / Optima,CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,80,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),Febuary,0,0,,0,0,204,0,0,868,0,0
Stonic,CKD (excl. Russia),Febuary,0,0,,0,0,0,54,0,0,0,0
Seltos,CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,523,0,0
