Model,Vehicle Type,Sales Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Avante (CN7),PC,Domestic," 4,086 ",,,,,,,,,,,
Avante (CN7 HEV),PC,Domestic," 1,233 ",,,,,,,,,,,
Avante (CN7 N),PC,Domestic, 144 ,,,,,,,,,,,
IONIQ (AE HEV),PC,Domestic, - ,,,,,,,,,,,
IONIQ (AE PHEV),PC,Domestic, - ,,,,,,,,,,,
IONIQ (AE EV),PC,Domestic, - ,,,,,,,,,,,
Veloster (JS N),PC,Domestic, - ,,,,,,,,,,,
Sonata (LF),PC,Domestic, - ,,,,,,,,,,,
Sonata (DN8),PC,Domestic," 1,785 ",,,,,,,,,,,
Sonata (DN8 HEV),PC,Domestic, 517 ,,,,,,,,,,,
Grandeur (IG),PC,Domestic, - ,,,,,,,,,,,
Grandeur (IG HEV),PC,Domestic, - ,,,,,,,,,,,
Grandeur (GN7),PC,Domestic," 2,613 ",,,,,,,,,,,
Grandeur (GN7 HEV),PC,Domestic," 3,098 ",,,,,,,,,,,
IONIQ 6 (CE),PC,Domestic, 12 ,,,,,,,,,,,
G70 (IK),PC,Domestic, 106 ,,,,,,,,,,,
G70 S/B (IK S/B),PC,Domestic, 1 ,,,,,,,,,,,
G80 (RG3),PC,Domestic," 2,710 ",,,,,,,,,,,
G80 (RG3 EV),PC,Domestic, 20 ,,,,,,,,,,,
G90,PC,Domestic, - ,,,,,,,,,,,
G90 (RS4),PC,Domestic, 554 ,,,,,,,,,,,
Casper (AX),RV,Domestic, 740 ,,,,,,,,,,,
Casper (AX EV),RV,Domestic, 186 ,,,,,,,,,,,
Venue (QX),RV,Domestic, 694 ,,,,,,,,,,,
Kona (OS),RV,Domestic, - ,,,,,,,,,,,
Kona (OS HEV),RV,Domestic, - ,,,,,,,,,,,
Kona (OS EV),RV,Domestic, - ,,,,,,,,,,,
Kona (OS N),RV,Domestic, - ,,,,,,,,,,,
Kona (SX2),RV,Domestic," 1,510 ",,,,,,,,,,,
Kona (SX2 HEV),RV,Domestic, 588 ,,,,,,,,,,,
Kona (SX2 EV),RV,Domestic, 43 ,,,,,,,,,,,
Tucson (TL),RV,Domestic, - ,,,,,,,,,,,
Tucson (NX4),RV,Domestic," 2,097 ",,,,,,,,,,,
Tucson (NX4 HEV),RV,Domestic," 1,539 ",,,,,,,,,,,
NEXO (FE),RV,Domestic, 24 ,,,,,,,,,,,
IONIQ 5 (NE),RV,Domestic, 49 ,,,,,,,,,,,
IONIQ 5 N (NE N),RV,Domestic, 26 ,,,,,,,,,,,
Santa-Fe (TM),RV,Domestic, - ,,,,,,,,,,,
Santa-Fe (TM HEV),RV,Domestic, - ,,,,,,,,,,,
Santa-Fe (MX5),RV,Domestic," 1,005 ",,,,,,,,,,,
Santa-Fe (MX5 HEV),RV,Domestic," 3,814 ",,,,,,,,,,,
Palisade (LX2),RV,Domestic," 1,287 ",,,,,,,,,,,
Palisade (LX3),RV,Domestic," 1,234 ",,,,,,,,,,,
Palisade (LX3 HEV),RV,Domestic, - ,,,,,,,,,,,
GV60 (JW),RV,Domestic, 2 ,,,,,,,,,,,
GV70 (JK),RV,Domestic," 2,734 ",,,,,,,,,,,
GV70 (JK EV),RV,Domestic, 5 ,,,,,,,,,,,
GV80 (JX),RV,Domestic," 2,534 ",,,,,,,,,,,
GV80 Coupe (JX Coupe),RV,Domestic, 158 ,,,,,,,,,,,
LCV,CV,Domestic," 5,826 ",,,,,,,,,,,
HCV,CV,Domestic," 1,762 ",,,,,,,,,,,
Avante (CN7),PC,Export," 10,264 ",,,,,,,,,,,
Avante (CN7 HEV),PC,Export," 3,720 ",,,,,,,,,,,
Avante (CN7 N),PC,Export, 667 ,,,,,,,,,,,
IONIQ (AE HEV),PC,Export, - ,,,,,,,,,,,
IONIQ (AE PHEV),PC,Export, - ,,,,,,,,,,,
IONIQ (AE EV),PC,Export, - ,,,,,,,,,,,
i30 (PD),PC,Export, - ,,,,,,,,,,,
Veloster (JS N),PC,Export, - ,,,,,,,,,,,
Sonata (DN8),PC,Export," 5,386 ",,,,,,,,,,,
Sonata (DN8 HEV),PC,Export," 1,770 ",,,,,,,,,,,
Grandeur (IG),PC,Export, - ,,,,,,,,,,,
Grandeur (IG HEV),PC,Export, - ,,,,,,,,,,,
Grandeur (GN7),PC,Export, 277 ,,,,,,,,,,,
Grandeur (GN7 HEV),PC,Export, - ,,,,,,,,,,,
IONIQ 6 (CE),PC,Export, 682 ,,,,,,,,,,,
G70 (IK),PC,Export, 894 ,,,,,,,,,,,
G70 S/B (IK S/B),PC,Export, 11 ,,,,,,,,,,,
G80 (RG3),PC,Export, 372 ,,,,,,,,,,,
G80 (RG3 EV),PC,Export, 1 ,,,,,,,,,,,
G90 (HI),PC,Export, - ,,,,,,,,,,,
G90 (RS4),PC,Export, 144 ,,,,,,,,,,,
Casper (AX),RV,Export, - ,,,,,,,,,,,
Casper EV (AX EV),RV,Export," 2,867 ",,,,,,,,,,,
Venue (QX),RV,Export," 5,314 ",,,,,,,,,,,
Kona (OS),RV,Export, - ,,,,,,,,,,,
Kona (OS HEV),RV,Export, - ,,,,,,,,,,,
Kona (OS EV),RV,Export, - ,,,,,,,,,,,
Kona N (OS N),RV,Export, - ,,,,,,,,,,,
Kona (SX2),RV,Export," 12,202 ",,,,,,,,,,,
Kona (SX2 HEV),RV,Export," 6,421 ",,,,,,,,,,,
Kona (SX2 EV),RV,Export," 1,680 ",,,,,,,,,,,
Tucson (TL),RV,Export, - ,,,,,,,,,,,
Tucson (NX4),RV,Export," 2,558 ",,,,,,,,,,,
Tucson (NX4 HEV),RV,Export," 5,908 ",,,,,,,,,,,
Tucson (NX4 PHEV),RV,Export, 851 ,,,,,,,,,,,
NEXO (FE),RV,Export, 3 ,,,,,,,,,,,
IONIQ 5 (NE),RV,Export," 2,743 ",,,,,,,,,,,
IONIQ 5 N (NE N),RV,Export, 216 ,,,,,,,,,,,
IONIQ New Car (ME),RV,Export, - ,,,,,,,,,,,
Santa-Fe (TM),RV,Export, - ,,,,,,,,,,,
Santa-Fe (TM HEV),RV,Export, - ,,,,,,,,,,,
Santa-Fe (TM PHEV),RV,Export, - ,,,,,,,,,,,
Santa-Fe (MX5),RV,Export, 972 ,,,,,,,,,,,
Santa-Fe (MX5 HEV),RV,Export," 1,648 ",,,,,,,,,,,
Santa-Fe (MX5 PHEV),RV,Export, 778 ,,,,,,,,,,,
Palisade (LX2),RV,Export," 10,942 ",,,,,,,,,,,
Palisade (LX3),RV,Export, 3 ,,,,,,,,,,,
Palisade (LX3 HEV),RV,Export, 1 ,,,,,,,,,,,
GV60 (JW),RV,Export, 240 ,,,,,,,,,,,
GV70 (JK),RV,Export, 650 ,,,,,,,,,,,
GV70 EV (JK EV),RV,Export, 42 ,,,,,,,,,,,
GV80 (JX),RV,Export," 1,984 ",,,,,,,,,,,
GV80 Coupe (JX Coupe),RV,Export, 370 ,,,,,,,,,,,
LCV,CV,Export," 2,891 ",,,,,,,,,,,
HCV,CV,Export, 229 ,,,,,,,,,,,
