Model,Plant,Month,Korea,U.S.A,Canada,Mexico,*Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Pride / Rio,Korea Plants,Febuary,0,0,0,0,86,1,1,58,0,1,0,0
Ray,Korea Plants,Febuary,3160,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,Febuary,812,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,Febuary,1315,0,38,31,0,117,19,766,189,1163,0,0
K5 / Optima,Korea Plants,Febuary,2970,0,0,0,0,735,12,719,2,1,0,0
Stinger,Korea Plants,Febuary,0,0,4,0,10,0,1,14,0,0,0,0
"K7,8 / Cadenza",Korea Plants,Febuary,2165,0,0,0,0,11,0,94,0,0,0,0
K9,Korea Plants,Febuary,191,0,0,0,0,14,0,0,0,0,0,0
Stonic,Korea Plants,Febuary,0,0,0,0,4496,429,143,208,267,1015,0,0
Seltos,Korea Plants,Febuary,3967,4766,1714,0,0,319,468,351,0,946,0,0
Soul,Korea Plants,Febuary,0,3897,250,131,0,10,199,0,0,1,0,0
Soul EV,Korea Plants,Febuary,0,0,0,0,125,0,3,0,0,1,0,0
Niro,Korea Plants,Febuary,938,1210,119,98,3074,2,88,88,42,172,0,0
Niro EV,Korea Plants,Febuary,2,1301,394,0,2082,44,7,58,1,137,0,0
Niro Plus,Korea Plants,Febuary,0,0,0,0,0,0,0,430,0,1,0,0
Niro Plus EV,Korea Plants,Febuary,0,0,0,0,0,0,0,260,0,9,0,0
EV3,Korea Plants,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
EV4,Korea Plants,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,Febuary,155,1309,457,7,1841,17,12,38,17,289,21,6
EV9,Korea Plants,Febuary,124,1318,83,0,714,14,9,1,1,109,0,0
Sportage,Korea Plants,Febuary,6991,5334,1691,562,0,526,567,0,0,1969,0,0
Sorento,Korea Plants,Febuary,8671,1334,0,0,1020,453,202,1761,45,1066,0,0
Mohave / Borrego,Korea Plants,Febuary,241,0,0,0,0,37,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,Febuary,7989,3074,283,0,0,59,64,232,21,663,0,0
Bongo / Frontier,Korea Plants,Febuary,2897,0,0,0,0,214,1056,1149,186,126,0,0
Bongo EV,Korea Plants,Febuary,180,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,Febuary,100,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,Febuary,0,0,0,0,6773,315,2,105,9,5,0,0
Cee'd CUV,Slovakia Plant,Febuary,0,0,0,0,3008,48,17,0,232,0,0,0
Sportage,Slovakia Plant,Febuary,0,0,0,0,12326,692,442,1480,476,0,0,0
Pride / Rio (SC),Mexico Plant,Febuary,0,648,229,4592,0,0,941,369,0,3,0,0
K3,Mexico Plant,Febuary,0,11229,982,801,0,0,217,0,0,0,0,0
Pride / Rio (FB),*Russia Plant(HMMR),Febuary,0,0,0,0,0,9,0,0,0,0,0,0
Optima / K5,US Plant,Febuary,0,2291,4,0,0,0,4,0,0,0,0,0
Sportage,US Plant,Febuary,0,6747,0,0,0,0,14,0,0,0,0,0
Sorento,US Plant,Febuary,0,6091,332,136,0,0,24,0,0,0,0,0
Telluride,US Plant,Febuary,0,8510,162,0,0,0,13,434,0,0,0,0
EV9,US Plant,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,Febuary,0,0,0,0,0,0,2000,2691,162,168,0,45
Forte,China Plants,Febuary,0,0,0,0,0,0,0,0,0,0,0,2146
K3,China Plants,Febuary,0,0,0,0,0,0,0,0,0,0,0,1089
K4,China Plants,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,China Plants,Febuary,0,0,0,0,0,0,0,0,0,0,0,67
KX1,China Plants,Febuary,0,0,0,0,0,0,0,0,0,104,0,348
Sonet,China Plants,Febuary,0,0,0,0,0,0,1,0,0,0,0,0
KX3 / Seltos,China Plants,Febuary,0,0,0,1726,0,0,782,1183,18,45,0,697
Zhipao,China Plants,Febuary,0,0,0,0,0,0,0,0,0,0,0,300
KX5 / Sportage,China Plants,Febuary,0,0,0,0,0,0,0,0,0,0,0,752
Carnival,China Plants,Febuary,0,0,0,0,0,0,0,0,0,0,0,77
EV5,China Plants,Febuary,0,0,0,0,0,0,1,0,0,0,0,159
Sonet,India Plant,Febuary,0,0,0,0,0,0,1098,558,683,163,7562,0
Seltos,India Plant,Febuary,0,0,0,11,0,0,147,1,191,92,6250,0
Carens MPV,India Plant,Febuary,0,0,0,0,0,0,190,275,26,59,4176,0
Carnival (CKD),India Plant,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
Morning / Picanto,CKD,Febuary,0,0,0,0,0,0,0,92,0,39,0,0
Pegas,CKD,Febuary,0,0,0,0,0,0,0,0,0,25,0,0
K3,CKD,Febuary,0,0,0,0,0,256,0,0,0,198,0,0
K4,CKD,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
K5 / Optima,CKD,Febuary,0,0,0,0,0,0,0,0,0,17,0,0
